Language,Average Accuracy Before Preprocessing (%),Accuracy After Preprocessing (Image 1) (%),Accuracy After Preprocessing (Image 2) (%),Average Accuracy After Preprocessing (%),Contrast,Denoise,Invert,Blur,Threshold Method,Block Size,C,OCR Output (Image 1),OCR Output (Image 2),Ground Truth
German,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Die Katze sprang über den Zaun. Es landete leise auf dem grünen Gras. Die Sonne schien hell über Kopf. Ein kleiner Vogel flog von einem nahe gelegenen Baum. Inzwischen bellte ein Hund laut. Blätter fielen von den Bäumen.,Die Katze sprang über den Zaun. Es landete leise auf dem grünen Gras. Die Sonne schien hell über Kopf. Ein kleiner Vogel flog von einem nahe gelegenen Baum. Inzwischen bellte ein Hund laut. Blätter fielen von den Bäumen.,Die Katze sprang über den Zaun. Es landete leise auf dem grünen Gras. Die Sonne schien hell über Kopf. Ein kleiner Vogel flog von einem nahe gelegenen Baum.     Inzwischen bellte ein Hund laut. Blätter fielen von den Bäumen.
Greek,99.74,100,100,100,1,3,FALSE,none,none,N/A,N/A,"Η γάτα πήδηξε πάνω από το φράχτη. Προσγειώθηκε απαλά στο πράσινο γρασίδι. Ο ήλιος λάμπει έντονα πάνω από το κεφάλι. Ένα μικρό πουλί πέταξε από ένα κοντινό δέντρο. Εν τω μεταξύ, ένα σκυλί φώναξε δυνατά. Τα φύλλα έπεσαν από τα δέντρα.","Η γάτα πήδηξε πάνω από το φράχτη. Προσγειώθηκε απαλά στο πράσινο γρασίδι. Ο ήλιος λάμπει έντονα πάνω από το κεφάλι. Ένα μικρό πουλί πέταξε από ένα κοντινό δέντρο. Εν τω μεταξύ, ένα σκυλί φώναξε δυνατά. Τα φύλλα έπεσαν από τα δέντρα.","Η γάτα πήδηξε πάνω από το φράχτη. Προσγειώθηκε απαλά στο πράσινο γρασίδι. Ο ήλιος λάμπει έντονα πάνω από το κεφάλι. Ένα μικρό πουλί πέταξε από ένα κοντινό δέντρο.     Εν τω μεταξύ, ένα σκυλί φώναξε δυνατά. Τα φύλλα έπεσαν από τα δέντρα."
Hebrew,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"החתול קפץ מעל הגדר. זה נחת ברכות על הדשא הירוק. השמש זרחה מעל תקורה בהירה. ציפור קטנה עפה מעץ סמוך. בינתיים, כלב נבח בקול רם. עלים נפלו מהעצים.","החתול קפץ מעל הגדר. זה נחת ברכות על הדשא הירוק. השמש זרחה מעל תקורה בהירה. ציפור קטנה עפה מעץ סמוך. בינתיים, כלב נבח בקול רם. עלים נפלו מהעצים.","החתול קפץ מעל הגדר. זה נחת ברכות על הדשא הירוק. השמש זרחה מעל תקורה בהירה. ציפור קטנה עפה מעץ סמוך.     בינתיים, כלב נבח בקול רם. עלים נפלו מהעצים."
Hindi,93.01,93.71,94.41,94.06,1.4,none,FALSE,gaussian,otsu,N/A,N/A,"बलिली बाड़ पर कूद गई। यह हरी घास पर धीरे से उतरा। सूरज उजूजवल रूप से चमकता हुआ था। एक छोटा पक्षी पास के एक पेड़ से उड़ गया। इस बीच, एक कूतूता जोर से भौंक गया। पेड़ों से पत्‌ते गरि गए।","बलिली बाड़ पर कूद गई। यह हरी घास पर धीरे से उतरा। सूरज उज्‌जवल रूप से चमकता हुआ था। एक छोटा पक्षी पास के एक पेड़ से उड़ गया। इस बीच, एक कूतूता जोर से भौंक गया। पेड़ों से पत्ते गरि गए।","बिल्ली बाड़ पर कूद गई। यह हरी घास पर धीरे से उतरा। सूरज उज्ज्वल रूप से चमकता हुआ था। एक छोटा पक्षी पास के एक पेड़ से उड़ गया।     इस बीच, एक कुत्ता जोर से भौंक गया। पेड़ों से पत्ते गिर गए।"
Hungarian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,A macska átugrott a kerítésen. Halkan landolt a zöld fűre. A nap fényesen sütött. Egy kis madár repült egy közeli fáról. Eközben egy kutya hangosan ugatott. A levelek a fákból estek le.,A macska átugrott a kerítésen. Halkan landolt a zöld fűre. A nap fényesen sütött. Egy kis madár repült egy közeli fáról. Eközben egy kutya hangosan ugatott. A levelek a fákból estek le.,A macska átugrott a kerítésen. Halkan landolt a zöld fűre. A nap fényesen sütött. Egy kis madár repült egy közeli fáról.     Eközben egy kutya hangosan ugatott. A levelek a fákból estek le.
Indonesian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Kucing itu melompati pagar. Itu mendarat dengan lembut di rumput hijau. Matahari bersinar di atas kepala. Seekor burung kecil terbang dari pohon terdekat. Sementara itu, seekor anjing menggonggong dengan keras. Daun jatuh dari pepohonan.","Kucing itu melompati pagar. Itu mendarat dengan lembut di rumput hijau. Matahari bersinar di atas kepala. Seekor burung kecil terbang dari pohon terdekat. Sementara itu, seekor anjing menggonggong dengan keras. Daun jatuh dari pepohonan.","Kucing itu melompati pagar. Itu mendarat dengan lembut di rumput hijau. Matahari bersinar di atas kepala. Seekor burung kecil terbang dari pohon terdekat.     Sementara itu, seekor anjing menggonggong dengan keras. Daun jatuh dari pepohonan."
Italian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Il gatto saltò oltre il recinto. Atterrava dolcemente sull'erba verde. Il sole splendeva brillantemente sopra la testa. Un uccellino volava da un albero vicino. Nel frattempo, un cane abbaiava ad alta voce. Le foglie cadevano dagli alberi.","Il gatto saltò oltre il recinto. Atterrava dolcemente sull'erba verde. Il sole splendeva brillantemente sopra la testa. Un uccellino volava da un albero vicino. Nel frattempo, un cane abbaiava ad alta voce. Le foglie cadevano dagli alberi.","Il gatto saltò oltre il recinto. Atterrava dolcemente sull'erba verde. Il sole splendeva brillantemente sopra la testa. Un uccellino volava da un albero vicino.     Nel frattempo, un cane abbaiava ad alta voce. Le foglie cadevano dagli alberi."
Japanese,98.92,100,100,100,1,none,FALSE,gaussian,none,N/A,N/A,猫 は フェ ンス を 飛び 越え まし た 。 それ は 緑 の 草 の 上 に そっ と 着地 し まし た 。 太陽 は 明る く 頭 上 に 輝い て いま し た 。 近く の 木 か ら 小さ な 鳥 が 飛ん だ 。 一 方 、 犬 は 大 声 で bar え まし た 。 葉 は 木 か ら 落ち まし た 。,猫 は フェ ンス を 飛び 越え まし た 。 それ は 緑 の 草 の 上 に そっ と 着地 し まし た 。 太陽 は 明る く 頭 上 に 輝い て いま し た 。 近く の 木 か ら 小さ な 鳥 が 飛ん だ 。 一 方 、 犬 は 大 声 で bar え まし た 。 葉 は 木 か ら 落ち まし た 。,猫はフェンスを飛び越えました。 それは緑の草の上にそっと着地しました。 太陽は明るく頭上に輝いていました。 近くの木から小さな鳥が飛んだ。     一方、犬は大声でbarえました。 葉は木から落ちました。
Korean,61.41,98.91,82.47,90.69,1.4,none,TRUE,median,none,N/A,N/A,"고 양 이 는 울타리 위로 뛰어 들었다. 그것은 푸른 잔 디 에 부드럽게 착 륙 했습니다. 태 양 이 밝게 오버 헤 드 를 비 추 고 있었습니다. 작은 새 가 근처 나 무 에서 날아 갔다. 한편, 개가 큰 소 리 로 었 다. 잎 은 나 무 에서 떨 어 졌 다.","크 고 양 이 는 울타리 위로 뛰어 들었다. 르 잔 디 에 부드럽게 착 륙 했습니다. 0 빈 [10 껴 태 양 이 밝게 오버 헤 드 를 비 추 고 있었습니다. 작은 새 가 근처 나 무 에서 날아 갔다. [와 편 , 개가 큰 소 리 로 었 다. 느 3 잎 은 나 무 에서 떨 어 졌 다.","고양이는 울타리 위로 뛰어 들었다. 그것은 푸른 잔디에 부드럽게 착륙했습니다. 태양이 밝게 오버 헤드를 비추고있었습니다. 작은 새가 근처 나무에서 날아 갔다.     한편, 개가 큰 소리로 짖었다. 잎은 나무에서 떨어졌다."
Malay,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Kucing melompat ke atas pagar. Ia mendarat dengan lembut di rumput hijau. Matahari bersinar di atas kepala. Burung kecil terbang dari pokok berdekatan. Sementara itu, seekor anjing menyalak dengan kuat. Daun jatuh dari pokok.","Kucing melompat ke atas pagar. Ia mendarat dengan lembut di rumput hijau. Matahari bersinar di atas kepala. Burung kecil terbang dari pokok berdekatan. Sementara itu, seekor anjing menyalak dengan kuat. Daun jatuh dari pokok.","Kucing melompat ke atas pagar. Ia mendarat dengan lembut di rumput hijau. Matahari bersinar di atas kepala. Burung kecil terbang dari pokok berdekatan.     Sementara itu, seekor anjing menyalak dengan kuat. Daun jatuh dari pokok."
Norwegian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Katten hoppet over gjerdet. Den landet mykt på det grønne gresset. Solen skinte sterkt over hodet. En liten fugl fløy fra et nærliggende tre. I mellomtiden bjeffet en hund høyt. Bladene falt fra trærne.,Katten hoppet over gjerdet. Den landet mykt på det grønne gresset. Solen skinte sterkt over hodet. En liten fugl fløy fra et nærliggende tre. I mellomtiden bjeffet en hund høyt. Bladene falt fra trærne.,Katten hoppet over gjerdet. Den landet mykt på det grønne gresset. Solen skinte sterkt over hodet. En liten fugl fløy fra et nærliggende tre.     I mellomtiden bjeffet en hund høyt. Bladene falt fra trærne.
Polish,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Kot przeskoczył przez ogrodzenie. Wylądował cicho na zielonej trawie. Słońce świeciło jasno nad głową. Mały ptak leciał z pobliskiego drzewa. Tymczasem pies szczekał głośno. Liście spadły z drzew.,Kot przeskoczył przez ogrodzenie. Wylądował cicho na zielonej trawie. Słońce świeciło jasno nad głową. Mały ptak leciał z pobliskiego drzewa. Tymczasem pies szczekał głośno. Liście spadły z drzew.,Kot przeskoczył przez ogrodzenie. Wylądował cicho na zielonej trawie. Słońce świeciło jasno nad głową. Mały ptak leciał z pobliskiego drzewa.     Tymczasem pies szczekał głośno. Liście spadły z drzew.
Portuguese,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"O gato pulou sobre a cerca. A pousou suavemente na grama verde. O sol estava brilhando brilhantemente no alto. Um pequeno pássaro voou de uma árvore próxima. Enquanto isso, um cachorro latia alto. As folhas caíram das árvores.","O gato pulou sobre a cerca. A pousou suavemente na grama verde. O sol estava brilhando brilhantemente no alto. Um pequeno pássaro voou de uma árvore próxima. Enquanto isso, um cachorro latia alto. As folhas caíram das árvores.","O gato pulou sobre a cerca. A pousou suavemente na grama verde. O sol estava brilhando brilhantemente no alto. Um pequeno pássaro voou de uma árvore próxima.     Enquanto isso, um cachorro latia alto. As folhas caíram das árvores."
Romanian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Pisica a sărit peste gard. A aterizat ușor pe iarba verde. Soarele strălucea strălucitor deasupra capului. O pasăre mică a zburat dintr -un copac din apropiere. Între timp, un câine latră tare. Frunzele au căzut din copaci.","Pisica a sărit peste gard. A aterizat ușor pe iarba verde. Soarele strălucea strălucitor deasupra capului. O pasăre mică a zburat dintr -un copac din apropiere. Între timp, un câine latră tare. Frunzele au căzut din copaci.","Pisica a sărit peste gard. A aterizat ușor pe iarba verde. Soarele strălucea strălucitor deasupra capului. O pasăre mică a zburat dintr -un copac din apropiere.     Între timp, un câine latră tare. Frunzele au căzut din copaci."
Russian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Кошка перепрыгнула через забор. Он мягко приземлился на зеленую траву. Солнце сияло ярко над головой. Небольшая птица вылетела с соседнего дерева. Тем временем собака громко лаяла. Листья упали с деревьев.,Кошка перепрыгнула через забор. Он мягко приземлился на зеленую траву. Солнце сияло ярко над головой. Небольшая птица вылетела с соседнего дерева. Тем временем собака громко лаяла. Листья упали с деревьев.,Кошка перепрыгнула через забор. Он мягко приземлился на зеленую траву. Солнце сияло ярко над головой. Небольшая птица вылетела с соседнего дерева.     Тем временем собака громко лаяла. Листья упали с деревьев.
Spanish,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"El gato saltó sobre la cerca. Aterrizó suavemente sobre la hierba verde. El sol brillaba brillantemente por encima. Un pequeño pájaro voló desde un árbol cercano. Mientras tanto, un perro ladró en voz alta. Las hojas cayeron de los árboles.","El gato saltó sobre la cerca. Aterrizó suavemente sobre la hierba verde. El sol brillaba brillantemente por encima. Un pequeño pájaro voló desde un árbol cercano. Mientras tanto, un perro ladró en voz alta. Las hojas cayeron de los árboles.","El gato saltó sobre la cerca. Aterrizó suavemente sobre la hierba verde. El sol brillaba brillantemente por encima. Un pequeño pájaro voló desde un árbol cercano.     Mientras tanto, un perro ladró en voz alta. Las hojas cayeron de los árboles."
Swahili,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Paka akaruka juu ya uzio. Ilitua kwa upole kwenye nyasi za kijani. Jua lilikuwa likiangaza juu. Ndege mdogo akaruka kutoka kwa mti wa karibu. Wakati huo huo, mbwa aligonga kwa sauti kubwa. Majani yakaanguka kutoka kwa miti.","Paka akaruka juu ya uzio. Ilitua kwa upole kwenye nyasi za kijani. Jua lilikuwa likiangaza juu. Ndege mdogo akaruka kutoka kwa mti wa karibu. Wakati huo huo, mbwa aligonga kwa sauti kubwa. Majani yakaanguka kutoka kwa miti.","Paka akaruka juu ya uzio. Ilitua kwa upole kwenye nyasi za kijani. Jua lilikuwa likiangaza juu. Ndege mdogo akaruka kutoka kwa mti wa karibu.     Wakati huo huo, mbwa aligonga kwa sauti kubwa. Majani yakaanguka kutoka kwa miti."
Swedish,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Katten hoppade över staketet. Det landade mjukt på det gröna gräset. Solen skiner starkt över huvudet. En liten fågel flög från ett närliggande träd. Under tiden skänkte en hund högt. Bladen föll från träden.,Katten hoppade över staketet. Det landade mjukt på det gröna gräset. Solen skiner starkt över huvudet. En liten fågel flög från ett närliggande träd. Under tiden skänkte en hund högt. Bladen föll från träden.,Katten hoppade över staketet. Det landade mjukt på det gröna gräset. Solen skiner starkt över huvudet. En liten fågel flög från ett närliggande träd.     Under tiden skänkte en hund högt. Bladen föll från träden.
Thai,98.68,99.34,99.34,99.34,1,none,FALSE,gaussian,otsu,N/A,N/A,แม ว ก ร ะ โด ด ข้ า ม ร ั ว ม ั น ล ง จ อ ด เบ า ๆ บ น ห ญ ้ า ส ี เข ี ย ว ด ว ง อ า ท ิ ต ย ์ ส ่ อ ง แส ง เห น ื อ ศี ร ษ ะ น ก ต ั ว เล ็ ก ๆ บ ิ น จ า ก ต ้ น ไม ้ ใก ล ้ เค ี ย ง ใน ขณะ เด ี ย ว ก ั น ส ุ น ั ข ก ็ เห ่ า เส ี ย ง ด ั ง ใบ ไม ้ ต ก ล ง ม า จ า ก ต ้ น ไม ้,แม ว ก ร ะ โด ด ข้ า ม ร ั ว ม ั น ล ง จ อ ด เบ า ๆ บ น ห ญ ้ า ส ี เข ี ย ว ด ว ง อ า ท ิ ต ย ์ ส ่ อ ง แส ง เห น ื อ ศี ร ษ ะ น ก ต ั ว เล ็ ก ๆ บ ิ น จ า ก ต ้ น ไม ้ ใก ล ้ เค ี ย ง ใน ขณะ เด ี ย ว ก ั น ส ุ น ั ข ก ็ เห ่ า เส ี ย ง ด ั ง ใบ ไม ้ ต ก ล ง ม า จ า ก ต ้ น ไม ้,แมวกระโดดข้ามรั้ว มันลงจอดเบา ๆ บนหญ้าสีเขียว ดวงอาทิตย์ส่องแสงเหนือศีรษะ นกตัวเล็ก ๆ บินจากต้นไม้ใกล้เคียง     ในขณะเดียวกันสุนัขก็เห่าเสียงดัง ใบไม้ตกลงมาจากต้นไม้
Turkish,100,100,100,100,1,none,TRUE,none,none,N/A,N/A,"Kedi çitin üzerinden atladı. Yeşil çimlere yumuşak bir şekilde indi. Güneş parlak bir şekilde parlıyordu. Yakındaki bir ağaçtan küçük bir kuş uçtu. Bu arada, bir köpek yüksek sesle havladı. Yapraklar ağaçlardan düştü.","Kedi çitin üzerinden atladı. Yeşil çimlere yumuşak bir şekilde indi. Güneş parlak bir şekilde parlıyordu. Yakındaki bir ağaçtan küçük bir kuş uçtu. Bu arada, bir köpek yüksek sesle havladı. Yapraklar ağaçlardan düştü.","Kedi çitin üzerinden atladı. Yeşil çimlere yumuşak bir şekilde indi. Güneş parlak bir şekilde parlıyordu. Yakındaki bir ağaçtan küçük bir kuş uçtu.     Bu arada, bir köpek yüksek sesle havladı. Yapraklar ağaçlardan düştü."
Ukrainian,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Кіт перескочив через паркан. Він тихо приземлився на зелену траву. Сонце яскраво світило над головою. Маленька птах полетіла з сусіднього дерева. Тим часом собака голосно гавкала. Листя впали з дерев.,Кіт перескочив через паркан. Він тихо приземлився на зелену траву. Сонце яскраво світило над головою. Маленька птах полетіла з сусіднього дерева. Тим часом собака голосно гавкала. Листя впали з дерев.,Кіт перескочив через паркан. Він тихо приземлився на зелену траву. Сонце яскраво світило над головою. Маленька птах полетіла з сусіднього дерева.     Тим часом собака голосно гавкала. Листя впали з дерев.
Vietnamese,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Con mèo nhảy qua hàng rào. Nó hạ cánh nhẹ nhàng trên cỏ xanh. Mặt trời đang chiếu sáng rực rỡ. Một con chim nhỏ bay từ một cái cây gần đó. Trong khi đó, một con chó sủa lớn. Lá rơi ra khỏi cây.","Con mèo nhảy qua hàng rào. Nó hạ cánh nhẹ nhàng trên cỏ xanh. Mặt trời đang chiếu sáng rực rỡ. Một con chim nhỏ bay từ một cái cây gần đó. Trong khi đó, một con chó sủa lớn. Lá rơi ra khỏi cây.","Con mèo nhảy qua hàng rào. Nó hạ cánh nhẹ nhàng trên cỏ xanh. Mặt trời đang chiếu sáng rực rỡ. Một con chim nhỏ bay từ một cái cây gần đó.     Trong khi đó, một con chó sủa lớn. Lá rơi ra khỏi cây."
